0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:51 +0300] "GET /ecommerce/admin-product-management.jsp HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:54 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15084
0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:54 +0300] "GET /ecommerce/img/product/558d3f3f-c446-4fd3-a59b-5c6794a4d8e2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:45:44 +0300] "GET /ecommerce/LogOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:45:44 +0300] "GET /ecommerce/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [29/May/2023:00:45:49 +0300] "POST /ecommerce/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:45:49 +0300] "GET /ecommerce/index.jsp HTTP/1.1" 200 7311
0:0:0:0:0:0:0:1 - - [29/May/2023:00:45:50 +0300] "GET /ecommerce/AdminMainPanel.jsp HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [29/May/2023:00:45:52 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15084
0:0:0:0:0:0:0:1 - - [29/May/2023:00:45:52 +0300] "GET /ecommerce/img/product/558d3f3f-c446-4fd3-a59b-5c6794a4d8e2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:46:33 +0300] "POST /ecommerce/UpdateProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:46:33 +0300] "GET /ecommerce/admin-product-management.jsp HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [29/May/2023:00:46:37 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15070
0:0:0:0:0:0:0:1 - - [29/May/2023:00:46:37 +0300] "GET /ecommerce/img/7821269b-ddf3-4aaa-95c2-fd53a22a1f28 HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [29/May/2023:00:47:39 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 14876
0:0:0:0:0:0:0:1 - - [29/May/2023:00:47:39 +0300] "GET /ecommerce/img/7821269b-ddf3-4aaa-95c2-fd53a22a1f28 HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [29/May/2023:00:47:49 +0300] "POST /ecommerce/DeleteProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:47:51 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 14196
0:0:0:0:0:0:0:1 - - [29/May/2023:00:48:14 +0300] "POST /ecommerce/AddProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:48:15 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 14902
0:0:0:0:0:0:0:1 - - [29/May/2023:00:48:15 +0300] "GET /ecommerce/img/product/edbddce3-816d-499b-b93a-2acf8db1f38e HTTP/1.1" 200 43117
0:0:0:0:0:0:0:1 - - [29/May/2023:00:48:43 +0300] "POST /ecommerce/UpdateProductServlet HTTP/1.1" 302 -
